NAME,N_SUPPORTED_LANGUAGES,DEVELOPERS,POSITIVE_REVIEWS,NEGATIVE_REVIEWS,PRICE,24_HOUR_PEAK,PUBLISH_YEAR,RATING_SCORE,TOTAL_RATE_SUM,TWITCH_PEAK_HOUR,TWITCH_PEAK_YEAR,TECH:  ,"TECH: ,",TECH: -,TECH: .,TECH: 2,TECH: 3,TECH: 4,TECH: 8,TECH: A,TECH: B,TECH: C,TECH: D,TECH: E,TECH: F,TECH: G,TECH: H,TECH: I,TECH: J,TECH: K,TECH: L,TECH: M,TECH: N,TECH: O,TECH: P,TECH: Q,TECH: R,TECH: S,TECH: T,TECH: U,TECH: V,TECH: W,TECH: X,TECH: Y,TECH: Z,TECH: _,TECH: a,TECH: b,TECH: c,TECH: d,TECH: e,TECH: f,TECH: g,TECH: h,TECH: i,TECH: k,TECH: l,TECH: m,TECH: n,TECH: o,TECH: p,TECH: q,TECH: r,TECH: s,TECH: t,TECH: u,TECH: v,TECH: w,TECH: x,TECH: y,TECH: z,GENRE: Action,GENRE: Adventure,GENRE: Casual,GENRE: Early Access,GENRE: Free to Play,GENRE: Indie,GENRE: Massively Multiplayer,GENRE: RPG,GENRE: Racing,GENRE: Simulation,GENRE: Sports,GENRE: Store Genres,GENRE: Strategy,OS: Linux,OS: Windows,OS: macOS
100 hidden dogs,1,Anatoliy Loginovskikh,427,26,0.99,5.0,2021,0.9426048565121413,453,28.0,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
quilts and cats of calico,14,Monster Couch,251,11,15.99,26.0,2024,0.9580152671755725,262,223.0,2024,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1
corpse party (2021),3,MAGES.,843,66,19.99,18.0,2021,0.9273927392739274,909,126.0,2021,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
neverwinter nights: enhanced edition,6,Beamdog,6984,782,19.99,1003.0,2018,0.8993046613443214,7766,2410.0,2020,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
rush rally 3,12,Brownmonster Limited,405,24,14.99,11.0,2022,0.9440559440559441,429,59.0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0
papetura,103,Petums,913,73,11.99,3.0,2021,0.9259634888438134,986,84.0,2021,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
the questionably quirky quiz show - episode 1,1,Randumb Studios,127,2,,0.0,2021,0.9844961240310077,129,4.0,2021,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
golf it!,14,Perfuse Entertainment,24491,2575,,824.0,2023,0.9048621887238602,27066,2877.0,2022,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1
100 hidden birds,1,Anatoliy Loginovskikh,629,39,0.49,3.0,2020,0.9416167664670658,668,101.0,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
cultivation story: reincarnation,2,Chi Entertainment Corp.,1692,135,9.99,27.0,2023,0.9261083743842364,1827,1626.0,2023,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
